label	number	printed_page	physical_page	pdf_sha256	page_png	page_image_sha256	machine_warnings	review_status	review_mode	print_label_line_weight	caption_separation	grayscale_accessibility	semantic_value	theorem_evidence_scope	higher_res_crop	notes
fig:quartic-sextic-ir-flow	36.5	674	754	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0754.png	198295c04b91afc1912f30f11b2f2e173419eeea0a688150154df4ce059b6ffd	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:continuum-limit-wilsonian	36.6	676	756	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0756.png	eebf92d909d414129fd80547715dcc3e2609b8acc4e46dc5d8496e003fa9dc5a	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:finite-coordinate-cutoff-removal-estimate	36.7	680	760	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0760.png	7819127fcc2eadd70bab37e431f9f2877ee9b49f6e73f5e84687b2ff14593ba9		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:bphz-wilsonian-one-pi-bridge	36.8	684	764	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0764.png	9c6a21ba28657b7001b1b418803af6da22dbea72117463aad774fcedf701e702		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:quartic-one-loop-bphz-wilsonian-matching	36.9	693	773	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0773.png	45821ba418b640dd797319373bb332e2654d1faf9f3d9477eb5784b43bc1da31		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-wilson-fisher-flow	37.1	700	780	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0780.png	f2ee7b8ae2f7c81fb8818e46087fdb7e9a274cab1db36976750c65efdee2affe		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-bare-versus-renormalized-coupling	37.2	701	781	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0781.png	cd55475edfdb53b59c007345967d12516822e644740879ff530554dee1ecd9e8		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-phi-two-renormalization	37.3	704	784	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0784.png	7c2dce092dde725a2a0a9f18eafb4da6f3b4c554ae65225d48404193784fc5e9		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-wilson-fisher-critical-surface	37.4	710	790	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0790.png	ebd235f9d7ede1d13e166a17c5d5cb3c4bf449611e6817cc500b0b2476aabd9c	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-phi-two-correlator-scaling	37.5	711	791	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0791.png	a16a5d1fcb7a0ad9109219948eea3777d87d8e8cd2ad5fc524dd63ed81433e33		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-wilson-fisher-operator-spectrum	37.6	713	793	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0793.png	554967c166dd01c6c9bff0c4222644083580d3b615e81ec070af558beff31489		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-ising-ensemble	38.1	725	805	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0805.png	9f654e9c9e0d068f07349b48d75bb22d381442d85392716e5caf90440a948b3a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-ising-correlator-regimes	38.2	730	810	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0810.png	b681e7fb623139ccad1934a433edff313e1b1b030774219da63f947bc6bb33a8	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-ising-scaling-limit	38.3	734	814	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0814.png	8abec9b3c0d70b9f1bd6160e8ff6c3b83733adad9b7be36ea9afb2a155ab00dc		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-ising-lattice-scalar	38.4	739	819	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0819.png	de37642284fa53b153a1d0cab0b48361d83c71307f7d3e89c46facd06eca0100		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-ising-universality-rg	38.5	741	821	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0821.png	402bfa9df117c6f6bc7c3cc04175adaafaf0eb4426b12cfc9113f8388f1065cd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:four-fermion-direct-exchange-vertex	40.1	777	857	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0857.png	7c41362b63219d6671b4e977d55d3d5e14a9b5c4900a3f4de6d7ed658aa4b213		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:weinberg-leading-soft-ward-identity	44.1	827	907	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0907.png	3addb70ee541a06da73ccd4aa15f0ab7f5d713b5183a803f2835a331b3c7488f		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-soft-factorization	44.2	830	910	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0910.png	806f18788efd41d38b5e86b5b6b329792409b341b8169e3af456a3d6487676dc		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-same-line-ir-cancellation	44.3	833	913	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0913.png	902fcc052087d318bbb8c1fe1b6e205ae62e168469118796781e147032887e0b		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-bloch-nordsieck-cancellation	44.4	834	914	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0914.png	fde7d7572dc32c6cadd0646468cfb971c6e6f698ceccbb223139f2719ebe51cd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:volume-ii-abelian-higgs-ir-regulator	44.5	843	923	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0923.png	5f048bf4a0c14677f4267a49a28daff1aa099541938a709b8d8937fce378f698	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ym-index-and-infinitesimal-data	45.1	845	925	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0925.png	e082755b9f87ee4cfa33c801672c26c1c722c7286ca8a1965bce364bf0255389		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ym-curvature-action-chain	45.2	847	927	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0927.png	167a8d2de4be99cefad831ff0cdbd29fbbfc9f43846744159b0f99e8c3be52b8		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ym-su-n-representation-data	45.3	854	934	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0934.png	51b22a0a7e135f54813535d29a5180cd7072e150d225e3b62d247ae51b773d9a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ym-matter-representation-covariance	45.4	855	935	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0935.png	dc173e2d13e34fae34dde1c804476fbb7d48b944e100bfcfb8d0fc7461fc4b59		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:abelian-beh-mode-accounting	45.5	857	937	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0937.png	649446516b7450aa55f516d155c7439d1e255157695dbe8cf51e5aec95ed55db		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:gauge-higgs-monopole-boundary-map	45.6	861	941	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0941.png	57df9e789b8c47ba9ed3b54bb0d6142634e8d9444e5ab39d3299f8cb14f50648		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:bogomolny-bound-structure	45.7	864	944	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0944.png	06eadd0b98f7e42a2f55af3ff1214838656432dcb4ca513875895b1151219387	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-chiral-mass-data	45.8	873	953	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0953.png	a2e817052dad94821ab91bb77e834ea6b12f4d30383b651e655e24748a8f2ef3		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:lattice-plaquette-gauge-covariance	46.1	875	955	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0955.png	608cb63b612fa4a89f1d1e81df6d81b978c90f4c7550263f3da696a718e75e4d		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:lattice-center-polyakov-loop	46.2	880	960	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0960.png	845b70111011882da84a2b3b9a5d3ad28d6c977896ea6f61792fc0497bbb835c		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:lattice-fermion-doubling	46.3	887	967	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0967.png	08b21eae06e67bce3ee23dbdf087bcae1fa2eab9284fc0266a9be989d542379e		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:fp-gauge-slice	47.1	892	972	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0972.png	0418b342a3c1727720168d5b0530f614e22edf0e4f88a97ddabb3676821be913	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:gribov-region-fundamental-domain	47.2	898	978	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0978.png	f073d4025d65a24959f8508343efb9aa25b558d86f8005209f81711ba1e772b1		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:bv-field-antifield-master-map	48.1	931	1011	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1011.png	cd6bc99c001415d3fb900da910d2a0169696688daf08dbafaad5f8a1d56e4d5d		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-ordinary-covariant-gauge-rules	49.1	949	1029	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1029.png	8353e6ec4e25fc7b56bece10a188c5eb07059d1e1c4e0205ca70169c6b29f456		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-background-field-beta	49.2	951	1031	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1031.png	1259acf557a6eef098939e5c8b9e64a8745e6a6e9c3a73080c814cad3677a1e4		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-constant-background-box	49.3	952	1032	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1032.png	238ec054e6c3aa73c1e74d7756d9b8a99ed5cd152e0c9d535eb7de0eb7ee9ada		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-banks-zaks-beta-shapes	49.4	960	1040	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1040.png	4ce4dec486602ed28dfe76cef6cb6d3e0219f6d8c54758fa1e6e994511ca873b		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-wilson-line-loop	49.5	961	1041	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1041.png	04cc2606aaaa9d37757a2472881a48d6d7c5eb7651ebdb0fabd9f6ab87fd8aa3	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-large-n-double-line-topology	49.6	962	1042	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1042.png	a35945dcf022c41f2e23d7d8c9293244dd418a3153eaac8163e799cc683a75d3		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-string-flux-tube-worldsheet	49.7	974	1054	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1054.png	7f623604958cb302c314bfa7d70d8566d482e084ac5e99d565ec08d792c2641f		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-string-baryonic-y-network	49.8	984	1064	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1064.png	711090d9ee41834eb41d3e879565a16455edb8d01d0978648999d1d10ff5dc37		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-dis-inclusive-kinematics	49.9	1059	1139	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1139.png	6bada6ab929a4f8f8fd48a5f1548e5b04bc10b57bcef8138b33c3685bf7384f8		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:qcd-dis-ope-light-ray-factorization	49.10	1067	1147	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1147.png	2ba88647d4c8dffa124f84469763b4f34c5e6a74427f93c654d6f16ba646e4dd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:jets-measurement-irc-flow	50.1	1104	1184	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1184.png	683a12ee7a27a09d8d6af60df96b12ff9c04a2c7b76a2c5be210b8ddb277963e		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:two-dimensional-axial-vector-loop	51.1	1137	1217	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1217.png	36270337d2d33be32cb0154b5148d8281dc741dab8d8b41f1af2379b186e9818		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:conserved-contour-charge-deformation	51.2	1139	1219	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1219.png	25522d0b0577bda44d5cdaacf7e983a25a02ac3d2ad59191ed6209816f652f68		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:anomalous-contour-charge-deformation	51.3	1139	1219	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1219.png	25522d0b0577bda44d5cdaacf7e983a25a02ac3d2ad59191ed6209816f652f68		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:four-dimensional-axial-vector-vector-triangle	51.4	1140	1220	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1220.png	fe5620e232ee0e3544ff874580dfd25cb47839d45597ae95a13f6d4bda3fc6c5		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:bpst-instanton-data	51.5	1171	1251	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1251.png	284aa85c39e0a744d27589316512d89f0abd363af05e338861788e58f7885200	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:schwinger-model-exact-solution	52.1	1238	1318	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1318.png	0110a47a0f355e7af03de7289a3fd4590700808565cfda250db840edb03089f8		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:anomaly-matching-backgrounds	55.1	1290	1370	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1370.png	4427930eacfe20e8177cade00da91e155909b53ea7385149fb384cf808f9d7c3		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:double-well-finite-volume	55.2	1296	1376	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1376.png	501583c8f8b35a00043e0b8055e2e9ac49c98321abd03da6efc184e9e44aceb4		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:u1-goldstone-vacuum-circle	55.3	1300	1380	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1380.png	cc29a85b0341f48eafc2a6222893de7b55e29ff2f2b332dad3c02029b21ad875		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:soft-pion-ward-adler-zero	55.4	1312	1392	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1392.png	e87241faf9d88f5879f23c9b43f9e56fcc26cdf52389b4431c5334de837ddce6		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:pion-scattering-leading-next	55.5	1315	1395	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1395.png	ec701be03da281ed9f35849991def5d303a25a6481bd0e1f887a4be05212a4b7		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:wzw-five-dimensional-filling	55.6	1320	1400	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1400.png	90911fddc1d16274453259a0faf93205a42dcefe179365ec2eb260e8512a93ba		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:em-axial-flavor-triangle	55.7	1324	1404	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1404.png	923c35da659a9570a7d81b844de8b53dbbf22a26ed69312f5977d0086779ac25		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:pi-zero-two-photon-decay	55.8	1325	1405	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1405.png	6bdfa99bffc7b6c770c609b93a9df1a0e72de0f0295c3933e18ef5fb92eabb3a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:cft-opening-ising-source-figures	56.1	1342	1422	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1422.png	1be34ef2e6cdcb2d91f504d5ecaa877daae77448c2193890f206ecf09e8efe14	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:cft-opening-ising-scalar-cutoff	56.2	1346	1426	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1426.png	f8bbf36df320ecbeb604fcf8f8dbfe87d6323d1e889e824803b1d6365520b50a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:conformal-charge-spacelike-slice	57.1	1348	1428	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1428.png	be9097b5ed84f865875acea0a6437d59379f55c706ef5f10a3c30f275bd8aaae		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ckv-data-to-charge	57.2	1350	1430	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1430.png	8f287d29479bec3bbb5509d893802dc14781ce03c0d780a5c1620ff749bf21fd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:euclidean-inversion-unit-sphere	57.3	1353	1433	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1433.png	c7f43b735f0ab81fc6e126301c60830a4b72a2f6b7a08b85d0364d31796eeec3		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:stress-improvement-curvature	58.1	1375	1455	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1455.png	22c2f6583fbe1eb7868f75fffdc6e46f7d4dfc4e1d12915c92df62fdc991e586		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:cft-wightman-time-euclidean-contours	59.1	1380	1460	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1460.png	31e9ef1839d263f51fa91761ca13324bb5b8c6b8da860ba0c432646ed58c4664		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:radial-cylinder-map	59.2	1381	1461	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1461.png	54ddd2f770c3769b1ca65da2ad1e84afd3aacac62289aebf09ab866111a713f8	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:state-from-origin-cylinder	59.3	1390	1470	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1470.png	ef056dcfa8343b8c377759454f4b8c488eddba3565041b6f09325245b526e18f	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:primary-descendant-multiplet	59.4	1392	1472	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1472.png	1386f5facef82b14017e8227b053de64c92788a51f69d274305e7dcbfd05147c		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:charge-commutator-slices	60.1	1403	1483	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1483.png	e49d4ba0867fcdef6d9d5bb2ab8b093c6b9472b902cd51665b2e75bb5ff7894c		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ward-surface-deformation	60.2	1404	1484	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1484.png	62b0989cf66563a41e2e2a2e29d7499b70d26d8351ca15f51fbd2e3a7959598d		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:two-point-cylinder-inner-product	63.1	1434	1514	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1514.png	040e701064c036fcf9786f8d9aef0e93c222aab64d1e927fc8aa3a29d86f7ec5		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:stress-tensor-three-point-ward	63.2	1439	1519	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1519.png	d037a69b760f0b65cc49b81bb732237cdd2182cfb631feb64dcf851a1830289a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:four-point-conformal-frame	63.3	1442	1522	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1522.png	24b759b30e688801b732ac384fba32533c5306aeaa594a5553e8f22e97983afd		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ope-radial-expansion	64.1	1447	1527	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1527.png	6da1809fa12ff5ea84ebef587f48d2377a85bd87c133c0733b0461ecd498289a	substantial_color_pixels_check_grayscale_semantics	pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:ope-crossing-trees	64.2	1453	1533	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1533.png	181fd4be953153e001e2b3b0aece8a8519a04860c98ab795cbf293dc2f6f2d89		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:rho-cylinder-frame	64.3	1462	1542	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-1542.png	8958ecba728bf68211a2f8507d98e7c463e9aaa56f07dbacfa8c1121d52e47c8		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:tqft-collar-gluing	103.1	2212	2292	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-2292.png	ac729985f7553da28457dcd48a918dba4398eb72a23323fa704ef0eb0dd0c99a		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:tqft-frobenius-generators	103.2	2217	2297	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-2297.png	b2815b7c8dc513c4f53740b32574b7a6728a0494fbf9d027ec7b8ec8ca3ad7fb		pending	pending	pending	pending	pending	pending	pending	pending	pending review
fig:finite-gauge-gluing-span	112.1	2320	2400	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-2400.png	f65083a580230e49164fa76f24f94bdec9fd4b53d4bf562f2166fe02baf78644		pending	pending	pending	pending	pending	pending	pending	pending	pending review
